                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 0.5778,                0.43416,                 1.1328,                0.98901,                      1,                  0.995,                0.89452,                0.53149,                0.33459,                 1.0574,              0.0009902,              0.0009902,              0.0009902
                     53,                0.58524,                0.44215,                 1.1706,                0.98885,                      1,                  0.995,                0.87818,                0.55822,                 0.3587,                 1.0684,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.5814,                 0.4467,                 1.1489,                0.99173,                      1,                  0.995,                0.91205,                0.50754,                0.31763,                  1.015,              0.0009506,              0.0009506,              0.0009506
                     55,                0.58688,                0.46369,                 1.1677,                0.99334,                      1,                  0.995,                0.90845,                0.50357,                0.33062,                0.99368,              0.0009308,              0.0009308,              0.0009308
                     56,                0.58636,                0.44906,                 1.1673,                0.98926,                    0.7,                0.72355,                0.63669,                0.54212,                0.45038,                 1.0828,               0.000911,               0.000911,               0.000911
                     57,                0.57778,                0.46798,                 1.1166,                 0.9028,                      1,                0.97682,                 0.8366,                0.56112,                0.53998,                 1.0801,              0.0008912,              0.0008912,              0.0008912
                     58,                0.59141,                0.43402,                 1.1571,                0.90019,                      1,                0.98591,                0.81479,                0.68611,                0.69756,                 1.2047,              0.0008714,              0.0008714,              0.0008714
                     59,                0.60527,                0.43312,                  1.144,                0.99493,                      1,                  0.995,                0.89068,                0.47682,                0.32459,                 1.0122,              0.0008516,              0.0008516,              0.0008516
                     60,                0.59134,                0.44588,                 1.1797,                0.99515,                      1,                  0.995,                0.85892,                0.56874,                0.32527,                 1.0635,              0.0008318,              0.0008318,              0.0008318
                     61,                0.53768,                0.41991,                 1.1432,                0.99516,                      1,                  0.995,                0.90569,                0.42567,                0.32939,                0.93267,               0.000812,               0.000812,               0.000812
                     62,                0.56126,                0.41679,                 1.1228,                0.99506,                      1,                  0.995,                0.92342,                0.35015,                0.27694,                0.89004,              0.0007922,              0.0007922,              0.0007922
                     63,                0.54783,                0.39323,                 1.1486,                0.99517,                      1,                  0.995,                0.89338,                0.49205,                0.31787,                 1.0794,              0.0007724,              0.0007724,              0.0007724
                     64,                0.51167,                0.39266,                 1.0798,                 0.9948,                      1,                  0.995,                0.85914,                0.50063,                0.32949,                 1.0941,              0.0007526,              0.0007526,              0.0007526
                     65,                0.50735,                0.39051,                 1.0858,                 0.9952,                      1,                  0.995,                0.86276,                0.46823,                0.32977,                  1.066,              0.0007328,              0.0007328,              0.0007328
                     66,                0.54101,                0.39392,                 1.1002,                0.99503,                      1,                  0.995,                0.83061,                0.60342,                0.36247,                 1.1609,               0.000713,               0.000713,               0.000713
                     67,                0.50564,                0.36516,                 1.0719,                0.99505,                      1,                  0.995,                0.88775,                 0.5389,                 0.3731,                 1.1019,              0.0006932,              0.0006932,              0.0006932
                     68,                0.58121,                0.42662,                 1.1394,                0.99507,                      1,                  0.995,                0.89187,                0.52356,                0.30854,                  1.107,              0.0006734,              0.0006734,              0.0006734
                     69,                0.52752,                0.38017,                 1.1174,                0.99505,                      1,                  0.995,                0.89784,                0.53973,                0.30891,                 1.0922,              0.0006536,              0.0006536,              0.0006536
                     70,                0.57836,                0.40633,                 1.1271,                0.99502,                      1,                  0.995,                0.88607,                0.51998,                0.29687,                 1.0503,              0.0006338,              0.0006338,              0.0006338
                     71,                0.57722,                0.44191,                 1.1712,                0.99487,                      1,                  0.995,                0.87219,                0.52745,                 0.3119,                 1.0451,               0.000614,               0.000614,               0.000614
                     72,                0.53285,                0.40956,                 1.1272,                0.99483,                      1,                  0.995,                0.89481,                0.47508,                0.28341,                 1.0256,              0.0005942,              0.0005942,              0.0005942
                     73,                0.50452,                0.37398,                 1.0887,                0.99488,                      1,                  0.995,                0.89227,                 0.4641,                0.27529,                 1.0614,              0.0005744,              0.0005744,              0.0005744
                     74,                0.49789,                0.38244,                 1.0764,                0.99505,                      1,                  0.995,                0.91954,                0.41671,                 0.2514,                0.97975,              0.0005546,              0.0005546,              0.0005546
                     75,                0.49227,                0.37703,                 1.0847,                0.99503,                      1,                  0.995,                0.93692,                0.40741,                0.25308,                0.93183,              0.0005348,              0.0005348,              0.0005348
                     76,                0.48022,                  0.371,                  1.078,                0.99484,                      1,                  0.995,                0.91324,                0.43727,                0.27392,                0.95352,               0.000515,               0.000515,               0.000515
                     77,                 0.4525,                0.36453,                 1.0695,                0.99462,                      1,                  0.995,                0.93762,                0.40612,                0.26244,                0.93831,              0.0004952,              0.0004952,              0.0004952
                     78,                0.44483,                0.33665,                 1.0438,                0.99438,                      1,                  0.995,                0.93315,                0.36863,                0.26485,                0.93227,              0.0004754,              0.0004754,              0.0004754
                     79,                0.48084,                0.34137,                 1.0758,                0.99412,                      1,                  0.995,                 0.9283,                0.40848,                0.23898,                0.96266,              0.0004556,              0.0004556,              0.0004556
                     80,                0.54539,                0.38491,                 1.1273,                0.99429,                      1,                  0.995,                0.90948,                0.45542,                 0.3021,                0.98166,              0.0004358,              0.0004358,              0.0004358
                     81,                0.50164,                0.37809,                 1.0902,                 0.9944,                      1,                  0.995,                0.89654,                0.47847,                 0.2798,                0.98235,               0.000416,               0.000416,               0.000416
                     82,                0.48226,                0.35745,                 1.1038,                0.99463,                      1,                  0.995,                0.92456,                0.45135,                0.26799,                0.95216,              0.0003962,              0.0003962,              0.0003962
